Borough,Neighbourhood,Latitude,Longitude,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,,1550.0,2400.0,,,,
Queens,Corona,40.74238175015667,-73.85682497345258,1500.0,1600.0,1950.0,,,,
Bronx,Country Club,40.844245936947374,-73.8240992675385,,,,,,,
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,1759.0,1850.0,2200.0,1806.0,2310.0,2582.0,3185.0
Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457296,1800.0,1827.0,1993.0,,,,
Brooklyn,Ditmas Park,40.643675183340974,-73.96101312466779,,,,,,,
Staten Island,Dongan Hills,40.58867294819928,-74.09639905312521,,2400.0,1800.0,,,,
Queens,Douglaston,40.76684609790763,-73.7424982072733,1300.0,1700.0,2645.0,,,,
Brooklyn,Downtown,40.69084402109802,-73.98346337431099,,,,,,,
Brooklyn,Dumbo,40.70317632822692,-73.9887528074504,1313.0,1650.0,5620.0,3189.0,4132.0,6086.0,9144.0
Brooklyn,Dyker Heights,40.61921945772264,-74.01931375636022,1475.0,1900.0,1900.0,,,,
Queens,East Elmhurst,40.76407323883091,-73.86704147658772,1375.0,1700.0,2000.0,,,,
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,2700.0,1725.0,1950.0,,,,
Manhattan,East Harlem,40.79224946663033,-73.94418223148524,1600.0,2000.0,2300.0,2010.0,2367.0,3268.0,3880.0
Brooklyn,East New York,40.669925700847045,-73.88069863917366,1575.0,1750.0,1995.0,,,,
Bronx,East Tremont,40.84269615786053,-73.88735617532338,,1650.0,1900.0,,,,
Manhattan,East Village,40.72784677727024,-73.98222616506416,1850.0,2425.0,2933.0,2608.0,3280.0,4044.0,5289.0
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195,,,,,,,
Bronx,Eastchester,40.887555677350775,-73.82780644716412,,,,,,,
Bronx,Edenwald,40.88456130303732,-73.84808271877168,,,,,,,
Queens,Edgemere,40.595641807368494,-73.77613282391705,,,,,,,
Bronx,Edgewater Park,40.82198611816349,-73.81388514428619,,,,,,,
Staten Island,Egbertville,40.579118742961214,-74.12727240604946,,,,,,,
Staten Island,Elm Park,40.63014674119383,-74.1418167896889,,,,,,,
Queens,Elmhurst,40.74404850512202,-73.88165622288388,1563.0,1800.0,2236.0,,,,
Staten Island,Eltingville,40.542230747450745,-74.1643308041936,,1899.0,1800.0,,,,
Staten Island,Emerson Hill,40.606794394801,-74.09776206972522,,,,,,,
Brooklyn,Erasmus,40.64692606658579,-73.94817709920184,,,,,,,
Queens,Far Rockaway,40.603134432500894,-73.75497968043872,1823.0,1775.0,2160.0,,,,
Bronx,Fieldston,40.89543742690383,-73.90564259591682,,,,,,,
Manhattan,Financial District,40.70710710727048,-74.0106654452127,2195.0,3027.0,3650.0,2955.0,3965.0,6065.0,10653.0
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,1618.0,1800.0,2117.0,,,,
Manhattan,Flatiron,40.739673047638426,-73.9909471052826,,,,,,,
Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,1998.0,1653.0,2000.0,,,,
Queens,Floral Park,40.74137842194544,-73.70884705889246,,1650.0,2300.0,,,,
Queens,Flushing,40.76445419697846,-73.83177300329582,1600.0,1750.0,2225.0,,,,
Bronx,Fordham,40.86099679638654,-73.89642655981623,,1275.0,2025.0,,,,
Queens,Forest Hills,40.72526378216503,-73.84447500788983,1575.0,1750.0,2150.0,,,,
Queens,Forest Hills Gardens,40.7146110815117,-73.8410221123401,,,,,,,
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,2255.0,2825.0,3528.5,2957.0,2508.0,4213.0,6760.0
Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537984,,,,,,,
Staten Island,Fox Hills,40.61731079252983,-74.08173992211962,,,5595.0,,,,
Queens,Fresh Meadows,40.7343944653313,-73.78271337003264,1450.0,1590.0,2200.0,,,,
Brooklyn,Fulton Ferry,40.70328109093014,-73.99550751888415,,,,,,,
Brooklyn,Georgetown,40.62384524478419,-73.91607483951324,,,,,,,
Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196,,1750.0,2600.0,,,,
Queens,Glen Oaks,40.74944079974332,-73.71548118999145,1575.0,2400.0,2000.0,,,,
Queens,Glendale,40.70276242967838,-73.87074167435605,1400.0,1675.0,2000.0,,,,
Brooklyn,Gowanus,40.673931143187154,-73.99444087145339,1750.0,1945.0,2350.0,2293.0,2796.0,3588.0,3687.0
Manhattan,Gramercy,40.737209832715,-73.98137594833541,2405.0,3513.5,4756.5,,,,
Staten Island,Graniteville,40.620171512231884,-74.15315246387762,,1350.0,1850.0,,,,
Staten Island,Grant City,40.57621558711788,-74.10585598545434,,1200.0,1900.0,,,,
Staten Island,Grasmere,40.59826835959991,-74.0766743627905,,,,,,,
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,5800.0,1600.0,1838.0,,,,
Staten Island,Great Kills,40.549480228713605,-74.14932381490992,1400.0,1575.0,1750.0,,,,
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,2350.0,2400.0,2550.0,2347.0,2812.0,3708.0,5278.0
Staten Island,Greenridge,40.5552952361732,-74.17079414786092,,,,,,,
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,2400.0,3247.0,3675.0,2828.0,4116.0,8000.0,12418.0
Staten Island,Grymes Hill,40.624184791313006,-74.08724819983729,,,,,,,
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,1937.0,2647.0,2400.0,1992.0,2118.0,2589.0,3174.0
Queens,Hammels,40.58733774018741,-73.80553002968718,,,,,,,
Staten Island,Heartland Village,40.58913894875281,-74.15902208156601,,,,,,,
Bronx,High  Bridge,40.836623010706056,-73.9261020935813,,,,,,,
Brooklyn,Highland Park,40.6819989345173,-73.890345709872,,,,,,,
Queens,Hillcrest,40.7238249018292,-73.79760300912672,1413.0,3606.0,2100.0,,,,
Queens,Hollis,40.71124344191904,-73.75925009335594,1600.0,1725.0,2000.0,,,,
Queens,Holliswood,40.7209572076444,-73.76714166714729,,,1852.0,,,,
Brooklyn,Homecrest,40.598525095137255,-73.95918459428702,,,,,,,
Queens,Howard Beach,40.65422527738487,-73.8381376460028,1100.0,1625.0,2200.0,,,,
Staten Island,Howland Hook,40.63843283794795,-74.18622331749823,,,,,,,
Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,,,,,,,
Staten Island,Huguenot,40.531911920489605,-74.19174105747814,,,,,,,
Queens,Hunters Point,40.743414090073536,-73.95386782130745,,,,,,,
Bronx,Hunts Point,40.80972987938709,-73.88331505955291,,1550.0,1500.0,,,,
Manhattan,Inwood,40.86768396449915,-73.92121042203897,1699.0,1733.0,2100.0,1657.0,1876.0,2273.0,2570.0
Queens,Jackson Heights,40.75198138007367,-73.88282109164365,1575.0,1800.0,2150.0,,,,
Queens,Jamaica Center,40.70465736068717,-73.79690165888289,1600.0,1815.0,2200.0,,,,
Queens,Jamaica Estates,40.71680483014613,-73.7872269693666,1595.0,2058.0,2350.0,,,,
Queens,Jamaica Hills,40.71145964370482,-73.79646462081593,,1525.0,2300.0,,,,
Brooklyn,Kensington,40.642381958003526,-73.98042110559474,2200.0,1850.0,2123.0,1724.0,1866.0,2925.0,3215.0
Queens,Kew Gardens,40.7051790354148,-73.82981905825703,1450.0,1800.0,2125.0,,,,
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,1450.0,1699.0,2100.0,,,,
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,947.0,1500.0,2198.0,,,,
Bronx,Kingsbridge Heights,40.8703923914147,-73.90152264513144,,,,,,,
Queens,Laurelton,40.66788389660247,-73.74025607989822,1350.0,3200.0,2000.0,,,,
Queens,Lefrak City,40.7360745708308,-73.8625247141374,,,,,,,
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,,,,2316.0,3277.0,5106.0,8553.0
Staten Island,Lighthouse Hill,40.57650629379489,-74.13792663771568,,,,,,,
Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,,,,,,,
Queens,Lindenwood,40.66391841925139,-73.84963782402441,,,,,,,
Manhattan,Little Italy,40.71932379395907,-73.99730467208073,1450.0,3000.0,3850.0,,,,
Queens,Little Neck,40.7708261928267,-73.7388977558074,,1875.0,3275.0,,,,
Queens,Long Island City,40.75021734610528,-73.93920223915505,1971.0,2500.0,3300.0,,,,
Bronx,Longwood,40.81509904545822,-73.8957882009446,,3395.0,1563.5,,,,
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,2275.0,2375.0,3195.0,2710.0,3524.0,4699.0,5543.0
Brooklyn,Madison,40.60937770113766,-73.94841515328893,,,,,,,
Queens,Malba,40.79060155670148,-73.82667757138641,,,,,,,
Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886,,2300.0,2250.0,,,,
Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939,,,,,,,
Manhattan,Manhattan Valley,40.79730704170287,-73.96428617740655,,,,,,,
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,,,,,,,
Staten Island,Manor Heights,40.60180957631444,-74.12059399718001,,,1450.0,,,,
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,,3350.0,1825.0,,,,
Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,,2250.0,2100.0,,,,
Staten Island,Mariner's Harbor,40.63254639048112,-74.15008537046981,,,,,,,
Queens,Maspeth,40.725427374093606,-73.89621713626859,2000.0,1750.0,2000.0,,,,
Bronx,Melrose,40.819754370594936,-73.90942160757436,,1550.0,2095.0,,,,
Queens,Middle Village,40.716414511158185,-73.88114319200604,1675.0,1800.0,2100.0,,,,
Staten Island,Midland Beach,40.57352690574283,-74.09348266303591,,1400.0,1700.0,,,,
Manhattan,Midtown,40.75469110270623,-73.98166882730304,2923.0,3175.0,4000.0,,,,
Manhattan,Midtown South,40.7485096643122,-73.98871313285247,,,,,,,
Brooklyn,Midwood,40.62559589869843,-73.95759523489838,1600.0,1688.0,2000.0,,,,
Brooklyn,Mill Basin,40.61597423962336,-73.91515391550404,,1400.0,1950.0,,,,
Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,,,,,,,
Manhattan,Morningside Heights,40.80799973816583,-73.96389627905332,,,,2329.0,2929.0,3179.0,4105.0
Bronx,Morris Heights,40.84789792606271,-73.91967159119565,,1685.0,1900.0,,,,
Bronx,Morris Park,40.847549063536334,-73.85040178030421,,1500.0,2050.0,,,,
Bronx,Morrisania,40.82359198585534,-73.90150648943059,,1500.0,1879.0,,,,
Bronx,Mott Haven,40.80623874935177,-73.91609987487575,1627.0,1550.0,2295.0,,,,
Bronx,Mount Eden,40.84382617671654,-73.91655551964419,1375.0,1475.0,1950.0,,,,
Bronx,Mount Hope,40.84884160724665,-73.90829930881988,,1875.0,1825.0,,,,
Manhattan,Murray Hill,40.756214599933124,-73.89554738529996,2400.0,3350.0,4678.0,2474.0,3426.0,4653.0,6568.0
Queens,Murray Hill,40.756214599933124,-73.89554738529996,2400.0,3350.0,4678.0,2474.0,3426.0,4653.0,6568.0
Queens,Neponsit,40.572036730217015,-73.85754672410827,,,,,,,
Staten Island,New Brighton,40.64061455913511,-74.08701650516625,,2400.0,1800.0,,,,
Staten Island,New Dorp,40.57257231820632,-74.1164794360638,,1450.0,1500.0,,,,
Staten Island,New Dorp Beach,40.56425549307335,-74.10432707469124,,,,,,,
Brooklyn,New Lots,40.6627442796966,-73.88511776379292,,,,,,,
Staten Island,New Springville,40.594252379161695,-74.16496031329827,,1400.0,1850.0,,,,
Manhattan,Noho,40.72325901885768,-73.98843368023597,2500.0,1750.0,7248.0,,,,
Queens,North Corona,40.7540709990489,-73.85751790676447,,,,,,,
Bronx,North Riverdale,40.90854282950666,-73.90453054908927,,,,,,,
Brooklyn,North Side,40.714822906532014,-73.95880857587582,,,,,,,
Bronx,Norwood,40.87722415599446,-73.8793907395681,2700.0,1600.0,1895.0,,,,
Queens,Oakland Gardens,40.74561857141855,-73.75494976234332,,,,,,,
Staten Island,Oakwood,40.5584622432888,-74.12156593771896,,1200.0,1725.0,,,,
Brooklyn,Ocean Hill,40.67840255479536,-73.91306831787395,1700.0,1800.0,2100.0,,,,
Brooklyn,Ocean Parkway,40.61305976667942,-73.96836678035541,,,,,,,
Staten Island,Old Town,40.59632891379513,-74.08751118005578,,,,,,,
Bronx,Olinville,40.87137078192371,-73.86332361652777,,,,,,,
Queens,Ozone Park,40.680708468265415,-73.84320266173447,1800.0,1888.0,2100.0,,,,
Brooklyn,Paerdegat Basin,40.63131755039667,-73.90233474295836,,,,,,,
Staten Island,Park Hill,40.60919044434558,-74.08015734936296,,,,,,,
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,2100.0,2475.0,2700.0,2795.0,2739.0,3422.0,4883.0
Bronx,Parkchester,40.837937822267286,-73.85600310535783,1700.0,1700.0,1889.0,,,,
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,1945.0,1750.0,1950.0,,,,
Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223,,,2929.0,,,,
Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999,,1450.0,2150.0,,,,
Staten Island,Pleasant Plains,40.524699376118136,-74.21983106616777,,,,,,,
Queens,Pomonok,40.73493618075478,-73.80486120040537,,1688.0,2100.0,,,,
Staten Island,Port Ivory,40.63968297845542,-74.17464532993542,,,,,,,
Bronx,Port Morris,40.801663627756206,-73.91322139386135,,,,,,,
Staten Island,Port Richmond,40.63366930554365,-74.12943426797008,,,,,,,
Staten Island,Prince's Bay,40.52626406734812,-74.20152556457658,,,,,,,
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269,1916.0,2375.0,2700.0,2393.0,2823.0,3621.0,4320.0
Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,,,,1933.0,2094.0,2911.0,3423.0
Brooklyn,Prospect Park South,40.64700860318519,-73.96261316716048,,1400.0,4650.0,,,,
Queens,Queens Village,40.71889309216736,-73.73871484578424,2300.0,1650.0,2000.0,,,,
Queens,Queensboro Hill,40.7445723092867,-73.82580915110559,,,,,,,
Queens,Queensbridge,40.75609129709471,-73.94563070334091,,,,,,,
Staten Island,Randall Manor,40.63563000681151,-74.09805062373887,,,,,,,
Queens,Ravenswood,40.76170452605415,-73.93157506072878,,,,,,,
Brooklyn,Red Hook,40.676253230250886,-74.0127589747356,1600.0,1750.0,2400.0,,2300.0,4287.0,
Queens,Rego Park,40.72897409480735,-73.8578268690537,1673.0,1850.0,2300.0,,,,
Brooklyn,Remsen Village,40.65211745179349,-73.91665331978048,,,,,,,
Queens,Richmond Hill,40.69794731471763,-73.83183321446887,2200.0,1695.0,1980.0,,,,
Staten Island,Richmond Town,40.56960594275505,-74.1340572986257,,,,,,,
Staten Island,Richmond Valley,40.51954145748909,-74.22957080626941,,,,,,,
Queens,Ridgewood,40.70832315613858,-73.90143517559589,1811.0,1800.0,2000.0,,,,
Bronx,Riverdale,40.890834493891305,-73.9125854610857,2300.0,1850.0,2600.0,,,,
Queens,Rochdale,40.67521139591733,-73.77258787620906,2125.0,2100.0,2148.0,,,,
Queens,Rockaway Beach,40.58280169684559,-73.82236121088751,1850.0,1650.0,2000.0,,,,
Queens,Rockaway Park,40.58034295646131,-73.84153370226186,,,,,,,
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,,2050.0,4478.0,2696.0,3257.0,4411.0,5445.0
Staten Island,Rosebank,40.61530494652761,-74.06980526716141,,1775.0,1850.0,,,,
Queens,Rosedale,40.65981643342808,-73.73526079428278,1457.0,1700.0,1800.0,,,,
Staten Island,Rossville,40.54940400650072,-74.21572851113952,,,,,,,
Queens,Roxbury,40.56737588957032,-73.89213760232822,,,,,,,
Brooklyn,Rugby,40.65557231328077,-73.92688212616955,,,,,,,
Staten Island,Sandy Ground,40.541139922091766,-74.21776636068567,,,,,,,
Bronx,Schuylerville,40.82657951686922,-73.82620275994073,,,,,,,
Brooklyn,Sea Gate,40.57637537890224,-74.0078731120024,,,,,,,
Brooklyn,Sheepshead Bay,40.58689012678384,-73.94318640482979,1570.0,1665.0,2200.0,,,,
Staten Island,Shore Acres,40.60971934079284,-74.06667766061771,,,,,,,
Staten Island,Silver Lake,40.61919310792676,-74.09629029235458,,1300.0,2100.0,,,,
Manhattan,Soho,40.72218384131794,-74.00065666959759,2443.5,2960.0,3675.0,,,,
Queens,Somerville,40.59771061565768,-73.79664750844047,,,,,,,
Bronx,Soundview,40.821012197914015,-73.86574609554924,,,,,,,
Staten Island,South Beach,40.58024741350956,-74.0795529253982,1575.0,1675.0,1800.0,,,,
Queens,South Jamaica,40.696911253789885,-73.7904261313554,2275.0,1999.0,2100.0,,,,
Queens,South Ozone Park,40.66854957767195,-73.80986478649041,1085.0,1600.0,1950.0,,,,
Brooklyn,South Side,40.71086147265064,-73.95800095153331,,,,,,,
Queens,Springfield Gardens,40.66623049036858,-73.76042092682287,,,,,,,
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,,,,,,,
Queens,St. Albans,40.69444538522359,-73.75867603727717,1650.0,1450.0,2300.0,,,,
Staten Island,St. George,40.6449815710044,-74.07935312512797,2400.0,1738.0,2298.0,,,,
Staten Island,Stapleton,40.62692762538176,-74.07790192660066,3279.0,1600.0,3200.0,,,,
Brooklyn,Starrett City,40.64758905230874,-73.87936970045875,,,,,,,
Queens,Steinway,40.775923015642896,-73.90228960391673,,,,,,,
Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,2250.0,1600.0,4100.0,,,,
Queens,Sunnyside,40.67646822054206,-74.01202084870053,,,,,,,
Staten Island,Sunnyside,40.67646822054206,-74.01202084870053,,,,,,,
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682,,,,,,,
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,4000.0,1812.5,2000.0,1400.0,1912.0,2300.0,2500.0
Manhattan,Sutton Place,40.76028033131374,-73.96355614094303,,,,2676.0,3622.0,5217.0,6497.0
Bronx,Throgs Neck,40.81510925804005,-73.81635002158441,2288.0,1700.0,1950.0,,,,
Staten Island,Todt Hill,40.59706851814673,-74.1113288180088,,,,,,,
Staten Island,Tompkinsville,40.637316067110326,-74.08055351790115,1900.0,2325.0,2800.0,,,,
Staten Island,Tottenville,40.50533376115642,-74.24656934235283,,,,,,,
Staten Island,Travis,40.58631375103281,-74.19073717538116,,,1800.0,,,,
Manhattan,Tribeca,40.721521967443216,-74.01068328559087,2538.0,3800.0,5625.0,3502.0,5543.0,9650.0,15886.0
Manhattan,Tudor City,40.7469174107402,-73.97121928722265,,,,,,,
Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,,,,,,,
Bronx,Unionport,40.82977429787161,-73.85053524451935,,1650.0,1775.0,,,,
Bronx,University Heights,40.85572707719664,-73.9104159619131,,1100.0,1995.0,,,,
Manhattan,Upper East Side,40.775638573301805,-73.96050763135,1898.0,2395.0,3295.0,,,,
Manhattan,Upper West Side,40.78765799853485,-73.97705923630603,1975.0,2750.0,4350.0,,,,
Queens,Utopia,40.73350025429757,-73.79671678028349,,,,,,,
Bronx,Van Nest,40.84360847124718,-73.8662991807561,,1625.0,2200.0,,,,
Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393,,1500.0,4500.0,,,,
Bronx,Wakefield,40.89470517661,-73.84720052054902,1750.0,1665.0,1950.0,,,,
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,1650.0,1775.0,2163.0,1978.0,2039.0,2425.0,2859.0
Brooklyn,Weeksville,40.67503986503237,-73.93053108817338,,,,,,,
Staten Island,West Brighton,40.63187892654607,-74.1071817826561,,1700.0,1800.0,,,,
Bronx,West Farms,40.83947505672653,-73.87774474910545,,1600.0,1700.0,,,,
Manhattan,West Village,40.73443393572434,-74.00617998126812,2300.0,3310.0,4995.0,2765.0,4169.0,7026.0,11903.0
Bronx,Westchester Square,40.8406194964327,-73.84219407604444,,1700.0,1725.0,,,,
Staten Island,Westerleigh,40.62109047275409,-74.13304143951704,,1350.0,1800.0,,,,
Queens,Whitestone,40.78129076602694,-73.81420216610863,1150.0,1700.0,2150.0,,,,
Bronx,Williamsbridge,40.88103887819211,-73.85744642974207,3650.0,1600.0,2100.0,,,,
Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,2491.0,2500.0,2584.0,2712.0,3166.0,4043.0,5081.0
Staten Island,Willowbrook,40.60370692627371,-74.13208447484298,,1500.0,1550.0,,,,
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,1600.0,1600.0,2952.0,1939.0,2563.0,2877.0,3679.0
Brooklyn,Wingate,40.66094656188111,-73.93718680559314,,,,,,,
Queens,Woodhaven,40.68988687915789,-73.8581104655432,1500.0,1600.0,1925.0,,,,
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,,,1983.0,,,,
Staten Island,Woodrow,40.54196762288876,-74.20524582480326,,,,,,,
Queens,Woodside,40.74634908860222,-73.90184166838284,1550.0,1547.5,2061.5,,,,
Manhattan,Yorkville,40.77592984988488,-73.94711784471826,,,,2215.0,2838.0,4181.0,7084.0
